degree,coefficient
0,-400768351683901408958416200638054732473753927680
1,4485865416851125743788230145233574388718469382144
2,-24514764764411504983475981567602588918013382098944
3,87217226729799564487654554570961532637620826275840
4,-227272096308101830763401243729746552751035059798016
5,462709819431332579135613503090210881152929786494976
6,-766717614581304313114392121166832616680006210289664
7,1063584436778076241182112335678621890599851466424320
8,-1260890928707415271320049672620311457803946132766720
9,1297738577606655379676433338360545479999727889022976
10,-1174034757320339655369158795901049591606791293108224
11,942963464577089526044422206269395994977092205805568
12,-677934188506657333601022620611924661223810387673088
13,439257245648213960218425406267346647338070336077824
14,-257972856502979631073226298004753211978646395289600
15,137990608561232610866439277823535118550017691877376
16,-67501782245716434625321022717049489901181623861248
17,30300948936890380444641188810690357840398421852160
18,-12517004528640474114410312100200354935951234957312
19,4769063904740641993461152447863884474835999391744
20,-1678801195187379807996886928950958962405971853312
21,546626688596819879421936148562972655095260381184
22,-164708488081737671005260911304389856200929312768
23,45913441353285356544812597189623621359713124352
24,-11824394908442237813782015042429910964838072320
25,2805505141981336865142529528869875207720927232
26,-610122837879497813508978054510894441606152192
27,120517644367496052573488222809065538013102080
28,-21259613889629901444312810746680889153945600
29,3232473902649233225492038672001558428778496
30,-385658581119287455693748758468032752254976
31,22806308021126342831010091967753643622400
32,4894535361089103056466100216447232901120
33,-2321369271980741328279078542236324986880
34,601696561599723882176326969201384226816
35,-123775438994232337878919408695562469376
36,21961720969887997312065520856381521920
37,-3468454832875402800794241505433747456
38,494585628535060280610858619094695936
39,-64096987281967089485798296793382912
40,7566621187666403129807306257072128
41,-812991033858742708150732650971136
42,79218174622382297258263303946240
43,-6951821319653222073914715275264
44,542828623292663115763310526464
45,-36902811774200980940618924032
46,2088035191940616804066754560
47,-86850177265000967745748992
48,1176129227591098999291904
49,223725965850750547116032
50,-29310655078216507848704
51,2327920657178572930048
52,-143068110048321554432
53,7211069563930583552
54,-302975406829565568
55,10602327706308288
56,-305386806375072
57,7079217962544
58,-127283265864
59,1668783060
60,-14211126
61,59049
